Model,Stock,MAPE (%),RMSE,MAE,Directional Accuracy (%)
ARIMA,HDFCBANK.NS,0.55,7.0015,5.4374,55.65
ARIMA,ICICIBANK.NS,0.62,11.4415,8.6277,50.0
ARIMA,SBIN.NS,0.64,7.5822,5.7051,50.0
ARIMA,TCS.NS,0.82,33.7358,24.9392,50.0
ARIMA,INFY.NS,1.01,20.3404,15.2747,48.39
ARIMA,SUNPHARMA.NS,0.77,17.5884,12.9242,47.58
ARIMA,DRREDDY.NS,0.84,14.4257,10.5721,54.84
ARIMA,ITC.NS,0.58,2.8986,2.3377,54.03
ARIMA,HINDUNILVR.NS,0.82,28.9713,20.1859,44.35
ARIMA,M&M.NS,1.01,47.839,35.0257,51.61
ARIMA,MARUTI.NS,0.84,179.3039,124.5663,50.0
Prophet,HDFCBANK.NS,3.72,42.3427,36.6853,52.42
Prophet,ICICIBANK.NS,9.51,146.9969,131.2589,52.42
Prophet,SBIN.NS,12.71,137.1116,116.6179,54.03
Prophet,TCS.NS,5.81,214.1615,174.719,50.0
Prophet,INFY.NS,9.37,153.4131,138.8234,58.87
Prophet,SUNPHARMA.NS,9.23,172.7947,151.7338,60.48
Prophet,DRREDDY.NS,2.73,41.5261,34.464,47.58
Prophet,ITC.NS,3.72,17.6118,14.8324,50.0
Prophet,HINDUNILVR.NS,3.51,105.627,86.9968,54.84
Prophet,M&M.NS,6.37,273.2151,228.7139,48.39
Prophet,MARUTI.NS,17.33,3223.0057,2745.4043,52.42
LSTM,HDFCBANK.NS,0.69,8.388,6.865,44.35
LSTM,ICICIBANK.NS,1.35,23.5828,18.9415,54.84
LSTM,SBIN.NS,1.0,10.8848,8.7498,50.81
LSTM,TCS.NS,1.02,40.4732,31.0066,50.81
LSTM,INFY.NS,1.3,24.5703,19.5083,53.23
LSTM,SUNPHARMA.NS,1.88,40.1153,30.9557,47.58
LSTM,DRREDDY.NS,1.44,22.1962,18.1148,48.39
LSTM,ITC.NS,0.89,4.5908,3.5788,45.97
LSTM,HINDUNILVR.NS,0.92,32.5409,22.655,49.19
LSTM,M&M.NS,2.87,123.1324,101.1688,37.1
LSTM,MARUTI.NS,1.91,355.4018,287.0713,45.16
ExpSmoothing,HDFCBANK.NS,2.47,29.573,24.2,46.77
ExpSmoothing,ICICIBANK.NS,6.43,104.7687,88.6691,45.16
ExpSmoothing,SBIN.NS,5.37,66.2202,50.0474,44.35
ExpSmoothing,TCS.NS,9.67,324.0092,290.3603,44.35
ExpSmoothing,INFY.NS,7.15,122.0505,105.5492,47.58
ExpSmoothing,SUNPHARMA.NS,3.49,73.1786,56.9232,57.26
ExpSmoothing,DRREDDY.NS,5.44,79.2979,67.6131,54.03
ExpSmoothing,ITC.NS,5.82,26.1495,23.1398,43.55
ExpSmoothing,HINDUNILVR.NS,5.54,171.3769,139.8873,51.61
ExpSmoothing,M&M.NS,5.29,225.2203,189.6872,50.0
ExpSmoothing,MARUTI.NS,14.84,2765.0194,2353.2907,54.84
